"","Consent_Type","Section","Q5","Q32","Q32_3_TEXT","Python","DataVis","Stat.Inference","ML","Q13","Q14","Q15","Q16","Q17","Q18","Q21","Q35","Q34","Q33","Q22","Q23","Q26","Q36","Q38","Q37","Q27","Q39","Q30","Q31","Q32.1","Q35.1","ID"
"1","image/png","Section 01 With Professor Nussbaum","Yes, I am interested in the field of data science.","Yes","","Very Interested","Interested","Interested","Very Interested","Slightly familiar","Familiar","Slightly familiar","Slightly familiar","Slightly familiar","Familiar","Agree","Slightly Agree","Agree","Agree","Agree","Agree","C","Slightly Agree","Agree","Slightly Disagree","Neutral; I understand about half the concepts and do not understand the others and could use some skills in future coursework or internships","My answer would not have changed at all.","","","","",1
"2","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Minor.","No","","Interested","Very Interested","Very Interested","Interested","Very familiar","Very familiar","Very familiar","Very familiar","Familiar","Extremely familiar","Agree","Agree","Slightly Agree","Agree","Strongly Agree","Strongly Agree","A","Strongly Agree","Agree","Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a little bit, I would have felt less successful.","","","","",2
"3","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Major.","No","","Extremely Interested","Very Interested","Interested","Very Interested","Very familiar","Familiar","Familiar","Familiar","Slightly familiar","Very familiar","Strongly Agree","Agree","Slightly Agree","Slightly Agree","Slightly Agree","Agree","A","Agree","Agree","Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would not have changed at all.","","","","",3
"4","image/png","Section 01 With Professor Nussbaum","Yes, I am interested in the field of data science.","No","","Interested","Interested","Interested","Very Interested","Familiar","Familiar","Slightly familiar","Familiar","Slightly familiar","Familiar","Slightly Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Agree","Agree","B","Disagree","Disagree","Disagree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would not have changed at all.","","","","",4
"5","image/png","Section 01 With Professor Nussbaum","No","No","","Extremely Interested","Interested","Extremely Interested","Extremely Interested","Extremely familiar","Extremely familiar","Familiar","Very familiar","Slightly familiar","Very familiar","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","A","Disagree","Disagree","Strongly Disagree","Very successful; I am ready to use any of the concepts I have learned in future coursework or internships.","My answer would not have changed at all.","Not at all, quite useless","No labs, felt unnecessary, maybe if coding was required for the exams, but you don't need to know how to write code. ","Definitely not","",5
"6","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Major.","No","","Interested","Very Interested","Interested","Very Interested","Very familiar","Very familiar","Familiar","Very familiar","Very familiar","Very familiar","Slightly Agree","Agree","Slightly Agree","Slightly Agree","Slightly Agree","Slightly Agree","A","Slightly Agree","Agree","Slightly Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a little bit, I would have felt less successful.","Good and convenient coding reference for homework","Maybe a bit bland and since they give the solution to every coding problem you can leave without having learnt anything","On the days with bad weather probably not but otherwise likely","",6
"7","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Minor.","No","","Extremely Interested","Slightly interested","Interested","Interested","Extremely familiar","Very familiar","Very familiar","Very familiar","Familiar","Extremely familiar","Slightly Agree","Agree","Slightly Agree","Agree","Strongly Agree","Agree","A","Agree","Slightly Disagree","Slightly Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","","","","","",7
"8","image/png","Section 01 With Professor Nussbaum","Yes, I am interested in the field of data science.","Yes","","Very Interested","Very Interested","Very Interested","Extremely Interested","Familiar","Familiar","Familiar","Familiar","Not familiar at all","Familiar","Slightly Agree","Slightly Agree","Agree","Agree","Slightly Agree","Agree","A","Agree","Agree","Slightly Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would not have changed at all.","I think that the labs didn't help my understanding of the material too much, as having to actually physically attend the lab was an inconvenience. I think if the labs were an online assignment in addition to homework/problem sets, they would be more effective.","I would change the labs for them to be a homework-style assignment in addition to problem sets, thus not having to come in person","No","",8
"9","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Minor.","No","","Extremely Interested","Extremely Interested","Extremely Interested","Interested","Familiar","Familiar","Familiar","Very familiar","Slightly familiar","Familiar","Agree","Strongly Agree","Agree","Agree","Agree","Agree","A","Slightly Agree","Strongly Agree","Strongly Agree","Very successful; I am ready to use any of the concepts I have learned in future coursework or internships.","My answer would not have changed at all.","I think it did not had any influence since I treat them as HW (did them before or after the lab hours)","I think it is better if it is left as additional homework rather than in person, because everyone in class is silent and I don't think there is a need for us to be here. ","No","The content of the lab is 100% useful, however during the lab hour hardly anyone does the lab. ",9
"10","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Major.","Yes","","Extremely Interested","Extremely Interested","Very Interested","Slightly interested","Very familiar","Familiar","Familiar","Familiar","Slightly familiar","Familiar","Slightly Agree","Strongly Agree","Slightly Disagree","Agree","Slightly Agree","Slightly Agree","A","Slightly Disagree","Agree","Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a little bit, I would have felt less successful.","'- I think the labs were very very helpful in terms of helping ease us into the homework. It was much more helpful to use the code from lab in the homework than spend so much time just writing it from scratch. I also thought the conceptual questions were helpful. ","Sometimes they were too long, it  would be ideal to finish them within an hour. Sometimes there were mistakes. The biggest challenge was the one or two weeks when it lagged and we were not allowed to leave and couldn't even work on it. sometimes, I left the tab and came back and found everything erased that was also frustrating. ","Probably most weeks, yes. ","",10
"11","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Minor.","No","","Interested","Interested","Very Interested","Not at all interested","Familiar","Familiar","Familiar","Very familiar","Not familiar at all","Familiar","","","","","","","","","","","","","","","","",11
"12","image/png","Section 01 With Professor Nussbaum","Maybe","Other","I mostly took DS119 for the purposes of taking a class in machine learning.","Interested","Very Interested","Very Interested","Very Interested","Very familiar","Very familiar","Very familiar","Very familiar","Familiar","Very familiar","Agree","Strongly Agree","Slightly Agree","Agree","Slightly Agree","Slightly Agree","A","Agree","Agree","Agree","Very successful; I am ready to use any of the concepts I have learned in future coursework or internships.","My answer would have changed a little bit, I would have felt more successful.","The labs helped guide my work on the homeworks.","N/A","I would have attended at least half of them.","",12
"13","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Minor.","No","","Interested","Interested","Interested","Slightly interested","Familiar","Familiar","Familiar","Familiar","Slightly familiar","Familiar","Agree","Agree","Agree","Agree","Agree","Agree","A","Agree","Agree","Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a little bit, I would have felt less successful.","Good","Good","Yes","No",13
"14","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Major.","No","","Very Interested","Very Interested","Very Interested","Very Interested","Very familiar","Very familiar","Very familiar","Extremely familiar","Slightly familiar","Familiar","Agree","Slightly Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Agree","A","Agree","Agree","Strongly Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a lot, I would have felt much less successful.","","","","",14
"15","image/png","Section 01 With Professor Nussbaum","No","Other","Graduating","Slightly interested","Slightly interested","Extremely Interested","Extremely Interested","Familiar","Familiar","Familiar","Familiar","Not familiar at all","Familiar","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","A","Agree","Agree","Agree","Very successful; I am ready to use any of the concepts I have learned in future coursework or internships.","My answer would have changed a little bit, I would have felt less successful.","Labs force me to learn coding, provides some more structure to develop skills. Helps prep for homework","Structure of the labs was good. One serious problem: that one clustering lab where we had to interpret clusters had one question which was almost impossible to answer (select all that apply type of question). There are like 2^10 or 2^11 ways to answer this thing and the answer was not obvious, so I was stuck in a terrible situation. It was so dire that I tried using the console in the browser to see if I could get it to reveal the answer to me that way. Unfortunately, when I tried enlisting the help of AI tools to write some code to brute force the 2^10 combinations, AI's ethical guardrailing kicked in and terminated the conversation. I had been pushed to the limit by sheer desperation and AI cutting me off in the midst of my episode of madness was like a slap in the face. I could not believe that I had attempted to act unethically -- this was uncharacteristic for me.

In short, please fix this question to preserve the morals of your students.","No. People are busy here and when you're busy it's super easy to make excuses not to do things. The labs are valuable to the students in this course. Please keep them required.","Thanks for a nice quarter!",15
"16","image/png","Section 01 With Professor Nussbaum","Yes, I am interested in the field of data science.","Yes","","Interested","Interested","Interested","Very Interested","Familiar","Familiar","Slightly familiar","Very familiar","Slightly familiar","Very familiar","Agree","Agree","Slightly Agree","Slightly Agree","Agree","Agree","A","Agree","Agree","Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a little bit, I would have felt more successful.","The labs helped me  to be familiar with coding knowledges, and to consolidate knowledge from class.","The lab website and content are very helpful. However, the one-hour lab session each week is not very useful. Sometimes the website crashes, and there is nothing we can do about it, but we still have to stay until the end of the session.","I might not attend the lab sessions in person, but I would still review the lab website and complete the lab questions independently.","",16
"17","image/png","Section 01 With Professor Nussbaum","Yes, I am a Data Science Major.","Yes","","Interested","Very Interested","Extremely Interested","Very Interested","Slightly familiar","Familiar","Slightly familiar","Slightly familiar","Familiar","Very familiar","Slightly Agree","Agree","Slightly Agree","Slightly Agree","Agree","Slightly Agree","A","Slightly Agree","Slightly Disagree","Slightly Agree","Mostly successful; I understand the major concepts but still need to review some of the details before using them in future coursework or internships.","My answer would have changed a lot, I would have felt much less successful.","The labs were very helpful for showing the code that would be needed to complete the homeworks","The labs did not need to be in person. ","No","I don't think labs need to be in person because working collaboratively for them isn't super beneficial. I view them more as just giving an example of correct syntax for code that can be used on the homeworks, not as a problem solving activity, so working in groups doesn't feel that helpful. ",17
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18
"19","image/png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",19
